,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 22 (Cell cycle),Benjamini-Hochberg adjusted regression p of GEP 22 vs r hsc,Bonferroni adjusted regression p of GEP 22 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 22 vs r prog,Bonferroni adjusted regression p of GEP 22 vs r prog
90,HNRNPA2B1,0.0491918921964502,0.0007317552243242553,0.265540476995304,0.0,0.003721073,0.999775974942421,1.0,0.9831285273395207,1.0
91,HSP90AB1,-0.0460574111711009,0.002397638860408757,0.0146479188304971,0.03416725942418768,-0.001630877,0.999775974942421,1.0,0.9831285273395207,1.0
92,ICAM3,-0.048938410620967,0.0008069543668644241,0.0287157488496859,1.9318951554066757e-06,-0.000158297,0.999775974942421,1.0,0.9831285273395207,1.0
93,IFITM2,-0.0387167543507104,0.029194153146268543,0.0417493073229599,7.9130474235247e-13,-0.001128953,0.999775974942421,1.0,0.9831285273395207,1.0
94,IFITM3,-0.0410027428344123,0.014441364059762459,0.0191259986122929,0.0030857108108202154,-0.000452317,0.999775974942421,1.0,0.9831285273395207,1.0
95,IGFLR1,-0.0420555240968401,0.010122772454447464,0.0543927311528571,2.732611288229789e-21,-0.000898912,0.999775974942421,1.0,0.9831285273395207,1.0
96,ITM2B,-0.0391425843948001,0.02632753204351007,0.0214840822062742,0.000662299193370504,-0.000512235,0.999775974942421,1.0,0.9831285273395207,1.0
97,JUN,-0.0578717835109955,1.5784732161649698e-05,0.0776897479042467,1.0182812753235447e-42,-0.000134275,0.999775974942421,1.0,0.9831285273395207,1.0
98,JUND,-0.0618684944640473,2.3329182936603663e-06,0.0309878358687402,2.1840743264688545e-07,-0.000738427,0.999775974942421,1.0,0.9831285273395207,1.0
99,KDM1B,-0.0384547163938664,0.031651294142676534,0.0390069318988731,2.706255800026494e-11,-0.000444664,0.999775974942421,1.0,0.9831285273395207,1.0
100,KIAA0101,0.0535667290265001,0.00010955795678611608,0.2639886332178459,0.0,0.004566645,0.999775974942421,1.0,0.9831285273395207,1.0
101,KLF4,-0.0500253336638538,0.0005225498762591147,-0.0251523501021317,4.2328951512477186e-05,-0.000378894,0.999775974942421,1.0,0.9018510857133457,1.0
102,LAPTM4B,-0.0410152844174363,0.01442561479824183,0.0903332231734726,1.4213163417857102e-57,-5.19e-05,0.999775974942421,1.0,0.9831285273395207,1.0
103,LAPTM5,-0.0504828959949239,0.0004325749372997219,0.0921313793708282,7.218252646981392e-60,-0.002839405,0.999775974942421,1.0,0.36989092316657357,1.0
104,LBR,0.0711033842969754,1.4616567057970199e-08,0.2608588302870466,0.0,0.003717782,0.999775974942421,1.0,0.9831285273395207,1.0
105,LINC00493,-0.0399169189619241,0.020669713505706098,0.0192919840470841,0.002787392742185084,-0.000639663,0.999775974942421,1.0,0.9831285273395207,1.0
106,LMO2,-0.03915469828122,0.0262973090522249,0.0419074077973096,6.402113560844183e-13,0.000171376,0.999775974942421,1.0,0.9831285273395207,1.0
107,LRRC75A.AS1,-0.0508766881175439,0.0003609764000386872,0.0234927003844588,0.00015482081808097342,-0.000416486,0.999775974942421,1.0,0.9831285273395207,1.0
108,LUC7L3,-0.0379878448140962,0.036124498535067405,0.0607587235309226,2.1759145823158343e-26,-0.000659831,0.999775974942421,1.0,0.9831285273395207,1.0
109,MARCKSL1,-0.0415202239749186,0.012337201396282138,0.0424104430240035,3.249529668784836e-13,-0.000387693,0.999775974942421,1.0,0.9831285273395207,1.0
110,MCL1,-0.0501472368336405,0.0005001703478683945,-0.0244438732594713,7.450007835264834e-05,-0.000752794,0.999775974942421,1.0,0.9831285273395207,1.0
111,MCM10,0.0447872261453852,0.0038115193080914653,0.0612139785147873,8.97105147380757e-27,0.000213587,0.5882814676111755,1.0,0.9831285273395207,1.0
112,MEF2C,-0.0423172406930407,0.009226319930048351,0.1142915870616678,5.3842699061397856e-92,-0.001158975,0.999775974942421,1.0,0.6961764874186491,1.0
113,MKI67,0.1058065095529111,1.4667042887311985e-20,0.5259299039560624,0.0,0.011544048,0.16765659087061013,1.0,0.9831285273395207,1.0
114,MMRN1,-0.0381041716895203,0.03473196578298754,0.0601696118266844,6.83167112281753e-26,9.87e-05,0.999775974942421,1.0,0.9831285273395207,1.0
115,MND1,0.0470048709950825,0.0016558850604348955,0.2135750420175265,0.0,0.002433692,0.999775974942421,1.0,0.9831285273395207,1.0
116,MSS51,-0.0423638487689956,0.009124878966195817,0.0222603286033028,0.0003829903955657269,-0.000555738,0.999775974942421,1.0,0.9831285273395207,1.0
117,MT.ATP6,-0.0642763506428605,6.454907498578109e-07,0.1166768102921478,7.0736137203047786e-96,-0.001438207,0.999775974942421,1.0,0.5737223777982486,1.0
118,MT.CO1,-0.0478654864849174,0.001183039020465205,0.130782039508997,1.5018288327704838e-120,-0.001356634,0.999775974942421,1.0,0.5737223777982486,1.0
119,MT.CO2,-0.0530076725591279,0.0001415001869655163,0.1149917070881123,3.99882387717453e-93,-0.000604243,0.999775974942421,1.0,0.9831285273395207,1.0
120,MT.CO3,-0.054628142289307,6.833476577879114e-05,0.1170955626829492,1.4427318363203883e-96,-0.000487955,0.999775974942421,1.0,0.9831285273395207,1.0
121,MT.CYB,-0.0635839474474815,9.245920050288081e-07,0.1342401196835896,4.814757060332414e-127,-0.000764814,0.999775974942421,1.0,0.6706754662861097,1.0
122,MT.ND1,-0.0756197486823435,8.205706520496461e-10,0.0802472667610805,1.5188578415805828e-45,-0.001389064,0.999775974942421,1.0,0.9831285273395207,1.0
123,MT.ND2,-0.0810101717153229,1.9976432637242386e-11,0.0825279273102639,3.8915064388907084e-48,-0.001514749,0.999775974942421,1.0,0.9831285273395207,1.0
124,MT.ND3,-0.0670945751908388,1.4250765454548928e-07,0.0633545417955349,1.2477328276459918e-28,-0.001463415,0.999775974942421,1.0,0.9831285273395207,1.0
