,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 15 (DNA Replication),Benjamini-Hochberg adjusted regression p of GEP 15 vs r hsc,Bonferroni adjusted regression p of GEP 15 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 15 vs r prog,Bonferroni adjusted regression p of GEP 15 vs r prog
85,AC002310.7,-0.0313645095986169,0.009469781491640114,-0.0120314954662205,0.04774404193942352,-0.000192014,0.9999771431101689,1.0,0.9999471363027878,1.0
86,AC002429.5,-0.0477314634973426,3.751122296419201e-05,-0.0574667274525305,4.446736839858222e-24,-0.000364338,0.9999771431101689,1.0,0.9999471363027878,1.0
87,AC002451.3,-0.0296919157865195,0.014591956800576506,-0.0195361490078081,0.0010442322537688872,-0.000142921,0.9999771431101689,1.0,0.9999471363027878,1.0
88,AC002456.2,-0.0314118297072523,0.00935524791677336,-0.0507242993796288,5.698448159425088e-19,-0.000225193,0.9999771431101689,1.0,0.9999471363027878,1.0
89,AC002480.2,-0.0454204089846247,9.434053293077153e-05,-0.0226633078917954,0.00012716494264745893,-0.000122785,0.9999771431101689,1.0,0.9999471363027878,1.0
90,AC002480.5,-0.0267975256986791,0.02920387211331621,-0.022837335225247,0.0001120790408871643,-7.54e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
91,AC002519.8,-0.0322091946753812,0.007538359214054858,-0.0254382315843249,1.5147962526535366e-05,-0.000153408,0.9999771431101689,1.0,0.9999471363027878,1.0
92,AC002539.1,-0.0243560682481783,0.049435012110436584,-0.0194146302406198,0.001126556635624716,2.03e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
93,AC002551.1,-0.033774452848775,0.0048873433536517534,-0.0187903478684416,0.0016486576138046106,-5.14e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
94,AC003003.5,-0.0430894770494992,0.00023012548917280274,-0.0244359095880852,3.36137494999298e-05,-0.000167184,0.9999771431101689,1.0,0.9999471363027878,1.0
95,AC003005.2,-0.0254243138435481,0.03954826336299565,-0.015526132324226,0.009912875337406988,-9.47e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
96,AC003084.2,-0.0302661983537864,0.012586628491107123,-0.0247327281628135,2.662420351963641e-05,-0.000116373,0.9999771431101689,1.0,0.9999471363027878,1.0
97,AC003090.1,-0.0295060795785587,0.015289545855587837,-0.0346754707704815,2.1201240206111637e-09,-0.000146946,0.9999771431101689,1.0,0.9999471363027878,1.0
98,AC003682.16,-0.0277965522379235,0.023206297643855206,-0.0143190037650058,0.01775734755903386,-0.000103189,0.9999771431101689,1.0,0.9999471363027878,1.0
99,AC003958.2,-0.0350582405918019,0.003347597027608757,-0.0196616186086028,0.0009651071707726173,-9.1e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
100,AC003984.1,-0.0378376658393138,0.0014097313384165316,-0.0193297955402249,0.0011872200756325192,-8.41e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
101,AC003986.6,-0.0248702538352801,0.04444824440455316,-0.018971582957791,0.0014778380583015773,-0.00011401,0.9999771431101689,1.0,0.9999471363027878,1.0
102,AC003991.3,-0.0264508431482436,0.03159436375553795,0.0671608029958601,1.5403706032434448e-32,-0.00056872,0.9999771431101689,1.0,0.08040119707104777,1.0
103,AC004009.1,-0.0337436937746792,0.004930159556603971,-0.0142492602751231,0.01834043518331454,-5.02e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
104,AC004009.2,-0.0383898087940798,0.0011759719375108691,-0.019362645801317,0.0011631072439033019,-6.45e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
105,AC004019.13,-0.0306922105355423,0.011294595435562486,-0.0229877464496242,0.00010035657788121774,-9.09e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
106,AC004066.3,-0.0294126026438648,0.0156338372422187,-0.0168336335272285,0.005020247735327694,-0.000124244,0.9999771431101689,1.0,0.9999471363027878,1.0
